,tags
97,"['casual', 'plus size', 'print', 'v-neck', 'loose', 'vest']"
98,"['casual', 'plus size', 'beach', 'shirt', 'v-neck', 'tank top', 'blouse', 'vest']"
99,"['shorts', 'cotton', 'pants', 'waist']"
100,"['casual', 'tank top', 'ladies', 'pants', 'jumpsuit']"
101,"['casual', 'plus size', 'sleeveless', 'shorts', 'sexy', 'print', 'shirt', 'cotton', 'blouse', 'lace', 'slim']"
102,"['casual', 'sleeveless', 'shorts', 'shirt']"
103,"['casual', 'sexy', 'shirt', 'v-neck', 'cotton', 'slim']"
104,"['shorts', 'beach', 'sport']"
105,"['casual', 'dress', 'sexy', 'beach', 'print', 'party']"
106,"['casual', 'shorts', 'pants', 'slim', 'sport']"
107,"['beach', 'sport', 'bikini']"
108,"['casual', 'plus size', 'dress', 'print', 'ladies']"
109,"['casual', 'sleeveless', 'dress', 'shorts', 'v-neck', 'loose']"
110,"['casual', 'shorts', 'sexy', 'v-neck', 'cotton', 'slim', 'sport']"
111,"['dress', 'sexy', 'v-neck', 'ladies', 'party']"
112,"['casual', 'sleeveless', 'shorts', 'print', 'shirt', 'v-neck', 'ladies']"
113,"['shorts', 'sexy', 'lace']"
114,"['casual', 'plus size', 'sleeveless', 'shirt', 'blouse']"
115,"['casual', 'shorts', 'shirt', 'cotton', 'sport']"
116,[]
117,"['shorts', 'beach', 'pants', 'slim', 'sport']"
118,"['shorts', 'sexy', 'loose', 'pants']"
119,"['casual', 'v-neck', 'tank top', 'cotton', 'blouse', 'vest']"
120,"['casual', 'sleeveless', 'shorts', 'shirt', 'jumpsuit']"
121,"['casual', 'plus size', 'v-neck', 'tank top', 'cotton', 'vest']"
122,"['casual', 'dress', 'v-neck', 'tank top', 'vest']"
123,"['casual', 'plus size', 'sleeveless', 'dress', 'shorts', 'print', 'shirt']"
124,"['casual', 'pants', 'waist', 'sport']"
125,"['casual', 'shorts', 'sport']"
126,"['casual', 'plus size', 'dress', 'beach', 'shirt', 'v-neck', 'party']"
127,"['casual', 'plus size', 'shirt', 'tank top', 'cotton', 'blouse', 'vest']"
128,"['sleeveless', 'shorts']"
129,"['casual', 'plus size', 'sleeveless', 'dress', 'shorts', 'print', 'ladies']"
130,"['casual', 'plus size', 'sleeveless', 'shorts', 'shirt', 'v-neck', 'cotton', 'ladies', 'blouse']"
131,"['casual', 'plus size', 'print', 'tank top']"
132,"['casual', 'print', 'shirt', 'tank top']"
133,"['vest', 'waist']"
134,"['plus size', 'dress', 'print', 'cotton']"
135,"['casual', 'dress', 'v-neck', 'loose']"
136,"['casual', 'beach']"
137,['sport']
138,[]
139,[]
140,"['casual', 'shorts', 'sexy', 'beach', 'print', 'ladies', 'jumpsuit']"
141,"['sleeveless', 'sexy', 'shirt', 'v-neck']"
142,"['casual', 'plus size', 'shorts', 'pants', 'slim']"
143,"['sexy', 'beach', 'print', 'vest']"
144,"['casual', 'dress', 'party']"
145,"['casual', 'plus size', 'sleeveless', 'dress', 'shorts', 'v-neck', 'party']"
146,"['plus size', 'shorts', 'lace']"
147,"['casual', 'plus size', 'shorts', 'lace']"
148,"['casual', 'plus size', 'shirt', 'tank top', 'cotton', 'blouse']"
149,"['sport', 'bikini']"
150,"['casual', 'tank top', 'ladies']"
151,"['casual', 'sleeveless', 'shorts', 'shirt', 'blouse', 'lace']"
152,"['casual', 'plus size', 'dress', 'sexy', 'v-neck', 'tank top', 'blouse', 'vest']"
153,"['casual', 'dress', 'beach', 'v-neck', 'loose']"
154,"['dress', 'beach', 'v-neck', 'ladies', 'lace']"
155,"['plus size', 'shorts', 'sexy', 'shirt', 'slim']"
156,"['casual', 'plus size', 'loose', 'pants', 'jumpsuit']"
157,"['casual', 'plus size', 'dress', 'v-neck', 'loose']"
158,"['casual', 'print', 'shirt', 'tank top', 'cotton', 'blouse', 'vest']"
159,"['plus size', 'shorts', 'print', 'shirt', 'v-neck']"
160,"['plus size', 'sleeveless', 'dress', 'shorts', 'sexy', 'v-neck']"
161,"['casual', 'plus size', 'shorts', 'cotton', 'pants', 'sport']"
162,"['casual', 'sleeveless', 'shorts', 'sport']"
163,"['casual', 'dress', 'sexy', 'party']"
164,"['casual', 'shorts', 'beach', 'cotton', 'loose', 'pants', 'lace', 'waist']"
165,[]
166,"['tank top', 'cotton', 'vest']"
167,"['casual', 'shorts', 'print', 'cotton', 'pants', 'sport']"
168,"['casual', 'shorts', 'v-neck', 'ladies', 'lace', 'slim', 'jumpsuit']"
169,"['casual', 'plus size', 'dress', 'beach', 'v-neck', 'loose']"
170,"['casual', 'plus size', 'sleeveless', 'shorts', 'shirt', 'v-neck', 'blouse']"
171,"['shorts', 'sport']"
172,"['casual', 'sleeveless', 'shorts', 'print', 'shirt']"
173,"['shorts', 'sexy', 'pants', 'waist']"
174,"['casual', 'plus size', 'dress', 'beach', 'shirt', 'v-neck', 'ladies', 'slim', 'party']"
175,"['plus size', 'sport', 'bikini']"
176,"['casual', 'beach', 'print', 'tank top', 'cotton', 'vest', 'slim']"
177,"['shorts', 'beach', 'pants', 'sport']"
178,"['casual', 'plus size', 'dress', 'beach', 'print', 'v-neck', 'ladies', 'vest', 'party']"
179,"['vest', 'waist']"
180,"['casual', 'plus size', 'shorts', 'pants', 'lace', 'slim', 'waist']"
181,"['casual', 'shorts', 'sport']"
182,"['casual', 'waist', 'sport', 'bikini']"
183,"['casual', 'sleeveless', 'shorts', 'beach', 'shirt']"
184,"['dress', 'sexy']"
185,"['sexy', 'bikini']"
186,"['casual', 'plus size', 'sexy', 'shirt', 'v-neck', 'tank top', 'cotton', 'vest', 'slim']"
187,"['casual', 'plus size', 'sleeveless', 'dress', 'shorts', 'print', 'v-neck']"
188,"['casual', 'plus size', 'print', 'shirt', 'v-neck', 'tank top', 'cotton', 'vest', 'sport']"
189,[]
190,"['plus size', 'dress', 'sexy', 'beach', 'print']"
191,"['casual', 'beach', 'sport']"
192,"['casual', 'plus size', 'sleeveless', 'dress', 'shorts', 'v-neck', 'party']"
193,"['dress', 'sexy', 'beach', 'bikini']"
